ticker_symbol,day_date,stock_performance,prev_avg_sentiment_score
AAPL,2016-03-08,decline,-0.673747120026443
AAPL,2016-03-09,growth,-0.6452093954519792
AAPL,2016-03-10,growth,-0.6630131858683791
AAPL,2016-03-11,growth,-0.549704214448438
AAPL,2016-03-14,growth,-0.5452656389093723
AAPL,2016-03-15,growth,-0.5778655931281304
AAPL,2016-03-16,growth,-0.5430543537594191
AAPL,2016-03-17,decline,-0.6101786835213839
AAPL,2016-03-18,growth,-0.6531509569307827
AAPL,2016-03-21,decline,-0.5065791148217127
AAPL,2016-03-22,growth,-0.6004975984033863
AAPL,2016-03-23,decline,-0.683881370715279
AAPL,2016-03-24,decline,-0.7085485879474152
AAPL,2016-03-28,decline,-0.7187075667473238
AAPL,2016-03-29,growth,-0.7682226592240018
AAPL,2016-03-30,growth,-0.7150171310250181
AAPL,2016-03-31,decline,-0.6877678898980826
AAPL,2016-04-01,growth,-0.6670489573928838
AAPL,2016-04-04,growth,-0.6223394543840615
AAPL,2016-04-05,decline,-0.5483305783636366
AAPL,2016-04-06,growth,-0.6023479440273383
AAPL,2016-04-07,decline,-0.692965060849733
AAPL,2016-04-08,growth,-0.7006469244526182
AAPL,2016-04-11,growth,-0.5346275043991757
AAPL,2016-04-12,growth,-0.7200546258911092
AAPL,2016-04-13,growth,-0.6770452034388117
AAPL,2016-04-14,growth,-0.6220882068662082
AAPL,2016-04-15,decline,-0.6596077053924188
AAPL,2016-04-18,decline,-0.6147173648481971
AAPL,2016-04-19,decline,-0.660951925863577
AAPL,2016-04-20,growth,-0.6408719538421761
AAPL,2016-04-21,decline,-0.7321120614452855
AAPL,2016-04-22,decline,-0.7325082958841617
AAPL,2016-04-25,decline,-0.5992560332751705
AAPL,2016-04-26,decline,-0.6722735226855558
AAPL,2016-04-27,decline,-0.7132408853733179
AAPL,2016-04-28,decline,-0.6744347571734421
AAPL,2016-04-29,decline,-0.675243008853473
AAPL,2016-05-02,decline,-0.625007035658341
AAPL,2016-05-03,growth,-0.6199769550714315
AAPL,2016-05-04,decline,-0.5532391295628847
AAPL,2016-05-05,decline,-0.659486753384416
AAPL,2016-05-06,decline,-0.6617209950625248
AAPL,2016-05-09,growth,-0.3952614408006113
AAPL,2016-05-10,growth,-0.606267144496087
AAPL,2016-05-11,decline,-0.5715348665523751
AAPL,2016-05-12,decline,-0.7000330769908496
AAPL,2016-05-13,growth,-0.6642123614964278
AAPL,2016-05-16,growth,-0.5307609393708542
AAPL,2016-05-17,decline,-0.486588813601381
AAPL,2016-05-18,growth,-0.5650339611591866
AAPL,2016-05-19,decline,-0.525699342077095
AAPL,2016-05-20,growth,-0.5319878066226256
AAPL,2016-05-23,growth,-0.5016978697728385
AAPL,2016-05-24,growth,-0.5801301268995672
AAPL,2016-05-25,growth,-0.6149180692860328
AAPL,2016-05-26,growth,-0.6075551008181828
AAPL,2016-05-27,decline,-0.6366633165392361
AAPL,2016-05-31,decline,-0.7201425256552519
AAPL,2016-06-01,decline,-0.6400293964478705
AAPL,2016-06-02,decline,-0.6064035318162706
AAPL,2016-06-03,growth,-0.6824558992702308
AAPL,2016-06-06,growth,-0.3660984839384372
AAPL,2016-06-07,growth,-0.5890232269036568
AAPL,2016-06-08,decline,-0.7390633865419137
AAPL,2016-06-09,growth,-0.6405023727969782
AAPL,2016-06-10,decline,-0.6494615455234752
AAPL,2016-06-13,decline,-0.5791304088690702
AAPL,2016-06-14,growth,-0.5435082226276227
AAPL,2016-06-15,decline,-0.5630176338569197
AAPL,2016-06-16,growth,-0.6253447648636512
AAPL,2016-06-17,decline,-0.5888944465946632
AAPL,2016-06-20,decline,-0.6465025760910728
AAPL,2016-06-21,growth,-0.5938852314505718
AAPL,2016-06-22,decline,-0.5882324906381812
AAPL,2016-06-23,growth,-0.6076906369786031
AAPL,2016-06-24,decline,-0.6748461357857052
AAPL,2016-06-27,decline,-0.5654732232870058
AAPL,2016-06-28,growth,-0.6945420876940799
AAPL,2016-06-29,growth,-0.6649378142196783
AAPL,2016-06-30,growth,-0.6553496208545324
AAPL,2016-07-01,growth,-0.7015733633412191
AAPL,2016-07-05,decline,-0.6635896633488472
AAPL,2016-07-06,growth,-0.6704839494881528
AAPL,2016-07-07,growth,-0.6968614740249438
AAPL,2016-07-08,growth,-0.6728122538226616
AAPL,2016-07-11,growth,-0.467058263936089
AAPL,2016-07-12,growth,-0.6672210242995764
AAPL,2016-07-13,decline,-0.6720288844165688
AAPL,2016-07-14,growth,-0.6173039992103877
AAPL,2016-07-15,decline,-0.6020869866232492
AAPL,2016-07-18,growth,-0.4273891467128308
AAPL,2016-07-19,growth,-0.6034237020492553
AAPL,2016-07-20,growth,-0.6176429003207392
AAPL,2016-07-21,decline,-0.6850419458928523
AAPL,2016-07-22,decline,-0.7219337456261934
AAPL,2016-07-25,decline,-0.6367289204579747
AAPL,2016-07-26,decline,-0.703379187727333
AAPL,2016-07-27,growth,-0.5695740918194365
AAPL,2016-07-28,growth,-0.4975304652478924
AAPL,2016-07-29,decline,-0.609673872047788
AAPL,2016-08-01,growth,-0.668747478723526
AAPL,2016-08-02,decline,-0.5428028755927702
AAPL,2016-08-03,growth,-0.6861505371366325
AAPL,2016-08-04,growth,-0.5717833760180004
AAPL,2016-08-05,growth,-0.5867685712617019
AAPL,2016-08-08,growth,-0.6173745733086425
AAPL,2016-08-09,growth,-0.6705398038129947
AAPL,2016-08-10,decline,-0.7533447827739216
AAPL,2016-08-11,decline,-0.7033216052267921
AAPL,2016-08-12,growth,-0.6772706468202359
AAPL,2016-08-15,growth,-0.6139138839461586
AAPL,2016-08-16,decline,-0.5413735445056643
AAPL,2016-08-17,decline,-0.5805986045614214
AAPL,2016-08-18,decline,-0.6007361427053705
AAPL,2016-08-19,growth,-0.5932095221197374
AAPL,2016-08-22,decline,-0.6248049151169862
AAPL,2016-08-23,growth,-0.6478381748394588
AAPL,2016-08-24,decline,-0.7130109815669239
AAPL,2016-08-25,decline,-0.6043440703947974
AAPL,2016-08-26,decline,-0.7381151420931604
AAPL,2016-08-29,decline,-0.6451322563886642
AAPL,2016-08-30,decline,-0.7132317436119391
AAPL,2016-08-31,growth,-0.8157868119349992
AAPL,2016-09-01,growth,-0.7598709293916349
AAPL,2016-09-02,growth,-0.7952660311470086
AAPL,2016-09-06,decline,-0.687719914017531
AAPL,2016-09-07,growth,-0.681453230586831
AAPL,2016-09-08,decline,-0.5742169101485384
AAPL,2016-09-09,decline,-0.6699721496358203
AAPL,2016-09-12,growth,-0.6320918797550344
AAPL,2016-09-13,growth,-0.6019801169667314
AAPL,2016-09-14,growth,-0.5936877036795897
AAPL,2016-09-15,growth,-0.638999825689449
AAPL,2016-09-16,decline,-0.5818248051624356
AAPL,2016-09-19,decline,-0.6498074186793065
AAPL,2016-09-20,decline,-0.6332274505839122
AAPL,2016-09-21,decline,-0.6564383456194648
AAPL,2016-09-22,growth,-0.6552020777215588
AAPL,2016-09-23,decline,-0.6732489066292541
AAPL,2016-09-26,growth,-0.6939535028601097
AAPL,2016-09-27,growth,-0.718703515855985
AAPL,2016-09-28,growth,-0.6228950719725109
AAPL,2016-09-29,decline,-0.5636701651322513
AAPL,2016-09-30,growth,-0.6508797957046139
AAPL,2016-10-03,decline,-0.6063277760371746
AAPL,2016-10-04,growth,-0.6671537436457985
AAPL,2016-10-05,growth,-0.6633568671812494
AAPL,2016-10-06,growth,-0.627892993874364
AAPL,2016-10-07,growth,-0.6227541451785654
AAPL,2016-10-10,growth,-0.5988689369827737
AAPL,2016-10-11,growth,-0.595750557194496
AAPL,2016-10-12,growth,-0.7001636111901866
AAPL,2016-10-13,decline,-0.5767417998910973
AAPL,2016-10-14,growth,-0.5261619735969586
AAPL,2016-10-17,decline,-0.5666764202225246
AAPL,2016-10-18,decline,-0.6933551147047963
AAPL,2016-10-19,decline,-0.6410787594350407
AAPL,2016-10-20,decline,-0.6797414236277053
AAPL,2016-10-21,decline,-0.6665528276064022
AAPL,2016-10-24,growth,-0.6777086246688411
AAPL,2016-10-25,growth,-0.572334527725279
AAPL,2016-10-26,decline,-0.632743016490808
AAPL,2016-10-27,decline,-0.6205581893174412
AAPL,2016-10-28,decline,-0.5643825642189177
AAPL,2016-10-31,decline,-0.6436799068389267
AAPL,2016-11-01,decline,-0.6537744316195614
AAPL,2016-11-02,growth,-0.6939501972372544
AAPL,2016-11-03,decline,-0.7317102800773192
AAPL,2016-11-04,decline,-0.7196575415401403
AAPL,2016-11-07,growth,-0.5231999288905751
AAPL,2016-11-08,growth,-0.6812128665622104
AAPL,2016-11-09,decline,-0.6830218415728115
AAPL,2016-11-10,decline,-0.6950587599410624
AAPL,2016-11-11,growth,-0.657692741998812
AAPL,2016-11-14,decline,-0.7294652631809545
AAPL,2016-11-15,growth,-0.6439319194716503
AAPL,2016-11-16,growth,-0.5934236706438989
AAPL,2016-11-17,decline,-0.7011348846516617
AAPL,2016-11-18,growth,-0.6841747417825783
AAPL,2016-11-21,growth,-0.606540917167001
AAPL,2016-11-22,growth,-0.7231345806525361
AAPL,2016-11-23,decline,-0.6864297154049078
AAPL,2016-11-25,growth,-0.6693660862370634
AAPL,2016-11-28,decline,-0.6917691467837854
AAPL,2016-11-29,decline,-0.6871956861263846
AAPL,2016-11-30,decline,-0.6419573929643384
AAPL,2016-12-01,decline,-0.586507157892874
AAPL,2016-12-02,growth,-0.7013110465268043
AAPL,2016-12-05,decline,-0.6225171890258789
AAPL,2016-12-06,growth,-0.6999641823607522
AAPL,2016-12-07,growth,-0.5030357595733417
AAPL,2016-12-08,growth,-0.6296775446330406
AAPL,2016-12-09,growth,-0.5985384617533003
AAPL,2016-12-12,decline,-0.5587188484161858
AAPL,2016-12-13,growth,-0.6912820705417859
AAPL,2016-12-15,growth,-0.6734609307790691
AAPL,2016-12-16,growth,-0.5979246379803961
AAPL,2016-12-19,growth,-0.4381690793610238
AAPL,2016-12-20,growth,-0.654443885063462
AAPL,2016-12-21,growth,-0.589897709003535
AAPL,2016-12-22,decline,-0.6581272060301766
AAPL,2016-12-23,growth,-0.6588081618473662
AAPL,2016-12-27,growth,-0.605801140093336
AAPL,2016-12-28,decline,-0.5566156233940924
AAPL,2016-12-29,decline,-0.4990366961432512
AAPL,2016-12-30,decline,-0.58020389725969
AAPL,2017-01-03,growth,-0.5536896447340648
AAPL,2017-01-04,decline,-0.5850950973306565
AAPL,2017-01-05,growth,-0.5412180031402202
AAPL,2017-01-06,growth,-0.5678987127723762
AAPL,2017-01-09,growth,-0.6271441219278344
AAPL,2017-01-10,growth,-0.4192984679474897
AAPL,2017-01-11,growth,-0.5921887703727229
AAPL,2017-01-12,decline,-0.6160107240862451
AAPL,2017-01-13,decline,-0.5972799873500136
AAPL,2017-01-17,growth,-0.5420291278420425
AAPL,2017-01-18,decline,-0.5996204326708479
AAPL,2017-01-19,decline,-0.568412135781013
AAPL,2017-01-20,growth,-0.6731051133668169
AAPL,2017-01-23,growth,-0.6713361555600202
AAPL,2017-01-24,decline,-0.6675349081852052
AAPL,2017-01-25,growth,-0.6478279588809565
AAPL,2017-01-26,growth,-0.6480184291440939
AAPL,2017-01-27,growth,-0.7261757466709979
AAPL,2017-01-30,decline,-0.5380619090536366
AAPL,2017-01-31,decline,-0.5497629171283959
AAPL,2017-02-01,growth,-0.4660873606481643
AAPL,2017-02-02,decline,-0.4632388331207416
AAPL,2017-02-03,growth,-0.5619719707266702
AAPL,2017-02-06,growth,-0.5064208601110725
AAPL,2017-02-07,growth,-0.6354040151080252
AAPL,2017-02-08,growth,-0.5821514142108263
AAPL,2017-02-09,growth,-0.5549644792289065
AAPL,2017-02-10,decline,-0.5529450248228657
AAPL,2017-02-13,growth,-0.5600541938249379
AAPL,2017-02-14,growth,-0.5658163087588427
AAPL,2017-02-15,growth,-0.4601184137384681
AAPL,2017-02-16,decline,-0.5486862174714874
AAPL,2017-02-17,growth,-0.6120576480330873
AAPL,2017-02-21,growth,-0.6963146339817301
AAPL,2017-02-22,growth,-0.6585057301346515
AAPL,2017-02-23,decline,-0.345013905828731
AAPL,2017-02-24,growth,-0.5285324281634707
AAPL,2017-02-27,growth,-0.3675395608449182
AAPL,2017-02-28,growth,-0.5478192293112573
AAPL,2017-03-01,growth,-0.5649793762841876
AAPL,2017-03-02,decline,-0.504828153575053
AAPL,2017-03-03,growth,-0.5230296762923574
AAPL,2017-03-06,decline,-0.5163188736698973
AAPL,2017-03-07,growth,-0.6515664259850052
AAPL,2017-03-08,decline,-0.68757973288374
AAPL,2017-03-09,decline,-0.630683995364757
AAPL,2017-03-10,growth,-0.6235044549177359
AAPL,2017-03-13,growth,-0.5219045055539985
AAPL,2017-03-14,decline,-0.5110063254833221
AAPL,2017-03-15,growth,-0.5956570950653094
AAPL,2017-03-16,growth,-0.4789975116065904
AAPL,2017-03-17,decline,-0.5697284613735973
AAPL,2017-03-20,growth,-0.450783616043182
AAPL,2017-03-21,decline,-0.4987004119875815
AAPL,2017-03-22,growth,-0.4876382331038002
AAPL,2017-03-23,decline,-0.6123287756643306
AAPL,2017-03-24,decline,-0.5941510959891788
